type,setup,punchline,id
general,Why don't skeletons fight each other?,They don't have the guts.,449
general,What time is it?,I don't know... it keeps changing.,77
general,What is the leading cause of dry skin?,Towels,246
general,What did the dog say to the two trees?,Bark bark.,170
general,What is a tornado's favorite game to play?,Twister!,240
programming,I just got fired from my job at the keyboard factory.,They told me I wasn't putting in enough shifts.,399
general,What do you call a fly without wings?,A walk.,206
general,Why did the opera singer go sailing?,They wanted to hit the high Cs.,332
programming,"If you put a million monkeys at a million keyboards, one of them will eventually write a Java program",the rest of them will write Perl,25
general,What does a pirate pay for his corn?,A buccaneer!,235
general,How many bones are in the human hand?,A handful of them.,138
general,"Why did the fireman wear red, white, and blue suspenders?",To hold his pants up.,323
programming,Why did the designer break up with their font?,Because it wasn't their type.,436
programming,Why did the programmer quit his job?,Because he didn't get arrays.,18
general,What is the least spoken language in the world?,Sign Language,247
general,Why are “Dad Jokes” so good?,Because the punchline is apparent.,375
general,Did you hear about the runner who was criticized?,He just took it in stride,93
programming,To understand what recursion is...,You must first understand what recursion is,27
programming,Why did the programmer's wife leave him?,He didn't know how to commit.,415
knock-knock,"Knock knock. 
 Who's there? 
 A broken pencil. 
 A broken pencil who?",Never mind. It's pointless.,11
general,Why do wizards clean their teeth three times a day?,To prevent bat breath!,354
general,What did the 0 say to the 8?,Nice belt.,165
general,Why did the barber win the race?,He took a short cut.,315
general,Have you ever heard of a music group called Cellophane?,They mostly wrap.,109
general,Did you hear the one about the guy with the broken hearing aid?,Neither did he.,100
general,Why did the worker get fired from the orange juice factory?,Lack of concentration.,336
programming,Why do programmers always get Christmas and Halloween mixed up?,Because DEC 25 = OCT 31,382
general,What do you call a cow with two legs?,Lean beef.,196
general,Do you know where you can get chicken broth in bulk?,The stock market.,106
general,Never take advice from electrons.,They are always negative.,75
general,What do you get when you cross a rabbit with a water hose?,Hare spray.,231
programming,Why did the programmer go broke?,He used up all his cache,417
general,Did you hear that David lost his ID in prague?,Now we just have to call him Dav.,96
general,How do you make the number one disappear?,Add the letter G and it’s “gone”!,385
general,A ham sandwhich walks into a bar and orders a beer. The bartender says...,"I'm sorry, we don't serve food here",42
general,What’s 50 Cent’s name in Zimbabwe?,200 Dollars.,149
programming,Which song would an exception sing?,Can't catch me - Avicii,32
general,What did the spaghetti say to the other spaghetti?,"Pasta la vista, baby!",148
